code, team_home, team_home_score, team_away, team_away_score, event, finished, minutes, event_name, is_home,
1059812, 5, None, 19, None, 12, False, 0, Gameweek 12, True, 
1059830, 18, None, 5, None, 13, False, 0, Gameweek 13, False, 
1059832, 5, None, 7, None, 14, False, 0, Gameweek 14, True, 
1059843, 5, None, 11, None, 15, False, 0, Gameweek 15, True, 
1059859, 17, None, 5, None, 16, False, 0, Gameweek 16, False, 
1059863, 5, None, 13, None, 17, False, 0, Gameweek 17, True, 
1059872, 3, None, 5, None, 18, False, 0, Gameweek 18, False, 
1059886, 8, None, 5, None, 19, False, 0, Gameweek 19, False, 
1059894, 5, None, 12, None, 20, False, 0, Gameweek 20, True, 
1059904, 5, None, 2, None, 21, False, 0, Gameweek 21, True, 
1059914, 6, None, 5, None, 22, False, 0, Gameweek 22, False, 
1059924, 5, None, 9, None, 23, False, 0, Gameweek 23, True, 
1059936, 12, None, 5, None, 24, False, 0, Gameweek 24, False, 
1059943, 5, None, 1, None, 25, False, 0, Gameweek 25, True, 
1059960, 16, None, 5, None, 26, False, 0, Gameweek 26, False, 
1059963, 5, None, 3, None, 27, False, 0, Gameweek 27, True, 
1059977, 13, None, 5, None, 28, False, 0, Gameweek 28, False, 
1059983, 5, None, 17, None, 29, False, 0, Gameweek 29, True, 
1059996, 11, None, 5, None, 30, False, 0, Gameweek 30, False, 
1060002, 5, None, 18, None, 31, False, 0, Gameweek 31, True, 
1060016, 7, None, 5, None, 32, False, 0, Gameweek 32, False, 
1060022, 5, None, 15, None, 33, False, 0, Gameweek 33, True, 
1060041, 19, None, 5, None, 34, False, 0, Gameweek 34, False, 
1060045, 10, None, 5, None, 35, False, 0, Gameweek 35, False, 
1060053, 5, None, 20, None, 36, False, 0, Gameweek 36, True, 
1060067, 14, None, 5, None, 37, False, 0, Gameweek 37, False, 
1060073, 5, None, 4, None, 38, False, 0, Gameweek 38, True, 
